iter	RMSE
0	275601.8127
1	275514.6223
2	275471.8762
3	275390.3615
4	275336.2544
5	275270.7479
6	275192.6917
7	275147.1577
8	275073.4838
9	274997.955
10	274967.8006
11	274876.2095
12	274816.2009
13	274731.4615
14	274671.5514
15	274579.9353
16	274506.8512
17	274430.4351
18	274358.2417
19	274333.9635
20	274263.6036
21	274177.1384
22	274103.9815
23	274044.046
24	274019.9948
25	273963.4668
26	273869.1257
27	273821.7563
28	273769.8875
29	273708.3189
30	273653.4674
31	273605.1057
32	273568.8644
33	273468.3912
34	273431.7295
35	273343.0624
36	273257.2792
37	273201.5835
38	273154.367
39	273081.9831
40	273001.7495
41	272947.7183
42	272906.7082
43	272818.7601
44	272747.4059
45	272668.6235
46	272642.0569
47	272555.3862
48	272478.3679
49	272421.0663
50	272363.2937
51	272303.2076
52	272235.2868
53	272169.3936
54	272096.7162
55	272045.6289
56	272013.4348
57	271934.5697
58	271870.772
59	271800.7818
60	271731.5455
61	271662.1315
62	271623.8688
63	271560.7143
64	271521.7681
65	271453.6459
66	271408.1365
67	271348.1646
68	271262.6064
69	271211.1457
70	271140.9915
71	271067.4858
72	270991.4614
73	270929.0848
74	270915.3544
75	270879.8494
76	270837.3621
77	270798.2546
78	270733.6305
79	270681.4853
80	270628.7768
81	270585.3419
82	270531.0225
83	270504.132
84	270459.2387
85	270394.5554
86	270328.636
87	270260.4506
88	270214.5573
89	270155.0288
90	270119.878
91	270061.3873
92	269992.8952
93	269944.81
94	269866.0804
95	269816.1441
96	269770.1418
97	269725.6593
98	269677.3445
99	269624.5728
100	269566.8468
101	269508.5945
102	269447.007
103	269384.4325
104	269301.1808
105	269261.276
106	269214.0082
107	269166.004
108	269121.8698
109	269079.0427
110	269019.6745
111	268980.2445
112	268947.2911
113	268871.1288
114	268838.9935
115	268771.0873
116	268715.7461
117	268681.4893
118	268642.5126
119	268595.0813
120	268538.2621
121	268506.0696
122	268436.6415
123	268401.9903
124	268370.1039
125	268310.7265
126	268249.6437
127	268195.4255
128	268132.4467
129	268077.6084
130	268072.3429
131	268034.9548
132	267990.3971
133	267931.6694
134	267885.8462
135	267846.4248
136	267765.73
137	267749.5926
138	267721.8861
139	267644.8151
140	267576.919
141	267547.4681
142	267482.9922
143	267433.2955
144	267414.929
145	267384.6402
146	267317.2433
147	267294.6672
148	267243.1138
149	267196.5697
150	267130.0758
151	267098.1891
152	267052.1061
153	267018.3476
154	266973.2839
155	266960.4631
156	266933.319
157	266892.1242
158	266868.2001
159	266806.9731
160	266766.0946
161	266710.6451
162	266665.8027
163	266624.6272
164	266577.9108
165	266520.0662
166	266485.3678
167	266446.6139
168	266426.2148
169	266392.5929
170	266331.2691
171	266285.3838
172	266242.7161
173	266214.7437
174	266160.4749
175	266118.5499
176	266087.4543
177	266051.4791
178	266010.591
179	265933.9101
180	265915.6651
181	265855.9726
182	265816.9352
183	265773.4093
184	265703.6962
185	265647.6468
186	265619.7429
187	265559.5308
188	265488.0748
189	265409.9184
190	265366.1511
191	265326.2179
192	265288.3795
193	265277.2259
194	265225.7767
195	265177.6638
196	265114.2306
197	265067.4663
198	265047.3591
199	264969.6509
200	264910.6379
201	264879.0353
202	264829.3207
203	264786.7611
204	264784.1375
205	264736.5272
206	264662.2719
207	264604.4063
208	264557.1482
209	264520.1652
210	264480.1564
211	264437.165
212	264403.0873
213	264343.4819
214	264297.5958
215	264259.2482
216	264215.9583
217	264147.8502
218	264107.6616
219	264048.9737
220	263992.1268
221	263939.7256
222	263901.9025
223	263847.155
224	263777.6145
225	263736.7013
226	263686.2501
227	263663.5545
228	263618.7301
229	263570.5109
230	263553.8405
231	263518.814
232	263465.3824
233	263424.7083
234	263381.0675
235	263378.3118
236	263344.4874
237	263301.4216
238	263269.9061
239	263236.3679
240	263208.6435
241	263165.3912
242	263160.6932
243	263127.8013
244	263118.3429
245	263050.2256
246	263003.1256
247	262973.8492
248	262937.7616
249	262884.0148
250	262810.9729
251	262784.3702
252	262733.8366
253	262703.0255
254	262662.2617
255	262646.939
256	262616.88
257	262588.0794
258	262554.0308
259	262526.4365
260	262487.7612
261	262451.6226
262	262404.8291
263	262359.442
264	262338.8195
265	262297.7294
266	262248.2543
267	262215.8941
268	262167.4078
269	262138.4428
270	262106.0537
271	262092.4758
272	262063.4412
273	262053.1435
274	262008.3973
275	261948.7121
276	261920.8877
277	261887.6807
278	261846.0955
279	261812.6038
280	261783.6362
281	261744.0278
282	261733.7727
283	261689.8617
284	261645.6312
285	261611.4708
286	261586.2373
287	261546.7411
288	261509.8443
289	261488.3682
290	261465.4961
291	261432.8615
292	261388.7339
293	261342.6761
294	261289.3041
295	261273.3835
296	261238.1969
297	261219.2212
298	261169.7948
299	261098.7502
300	261031.7744
301	261012.6816
302	260973.6516
303	260934.511
304	260904.776
305	260884.4537
306	260855.1643
307	260811.1093
308	260778.0261
309	260771.6742
310	260717.0991
311	260670.1277
312	260643.1023
313	260611.0891
314	260581.133
315	260541.495
316	260485.5853
317	260429.9904
318	260405.9175
319	260360.8895
320	260318.7096
321	260267.2482
322	260226.1778
323	260205.9289
324	260160.9664
325	260134.3043
326	260116.3307
327	260076.8659
328	260038.796
329	260004.6644
330	259955.2745
331	259922.0647
332	259900.4854
333	259865.1602
334	259813.9582
335	259774.9288
336	259715.1855
337	259706.8256
338	259670.4263
339	259610.9098
340	259589.0234
341	259557.6005
342	259522.2926
343	259468.1751
344	259417.729
345	259379.4842
346	259329.4027
347	259297.9729
348	259254.8234
349	259230.8504
350	259211.6596
351	259184.1282
352	259148.6974
353	259080.3137
354	259045.2858
355	259009.3694
356	258971.7679
357	258954.9663
358	258910.0684
359	258902.6041
360	258867.1356
361	258835.4977
362	258785.8831
363	258735.5267
364	258695.8359
365	258665.6363
366	258652.8634
367	258635.0789
368	258593.7828
369	258567.0994
370	258532.1056
371	258531.2746
372	258479.0029
373	258438.6033
374	258403.7613
375	258357.5602
376	258322.9115
377	258256.8617
378	258197.4111
379	258174.0251
380	258138.3376
381	258100.7787
382	258074.36
383	258035.311
384	258004.7288
385	257982.1209
386	257937.1306
387	257908.9065
388	257849.0123
389	257807.2382
390	257786.3761
391	257746.7523
392	257728.4372
393	257687.524
394	257647.4058
395	257611.804
396	257583.549
397	257542.3562
398	257501.1552
399	257473.5858
400	257434.2536
401	257405.2309
402	257361.2095
403	257320.4658
404	257299.585
405	257248.8741
406	257179.6224
407	257157.029
408	257115.4194
409	257070.6883
410	257028.0207
411	256961.5429
412	256897.6287
413	256843.8407
414	256787.0362
415	256771.4399
416	256748.8548
417	256721.5651
418	256693.9989
419	256671.5485
420	256644.7516
421	256582.7835
422	256546.7118
423	256526.2458
424	256504.6271
425	256466.2252
426	256441.1638
427	256403.4865
428	256350.8018
429	256303.9174
430	256267.0038
431	256215.6734
432	256179.3591
433	256158.8906
434	256134.5745
435	256084.8203
436	256059.5102
437	256033.6582
438	256017.5065
439	255991.6981
440	255935.7799
441	255884.2622
442	255852.6206
443	255819.6328
444	255795.7878
445	255780.0804
446	255776.0791
447	255735.8649
448	255698.877
449	255666.8835
450	255628.5284
451	255601.3127
452	255573.9056
453	255525.9925
454	255497.0377
455	255461.339
456	255419.4525
457	255382.395
458	255359.1641
459	255328.9851
460	255288.7458
461	255259.6369
462	255224.6511
463	255174.0399
464	255144.0969
465	255099.9857
466	255068.8608
467	255030.508
468	255009.9828
469	254976.7409
470	254948.7265
471	254916.2294
472	254896.9159
473	254873.7026
474	254837.2004
475	254807.8474
476	254785.7988
477	254743.7024
478	254720.2471
479	254691.2233
480	254658.0763
481	254627.7925
482	254596.0762
483	254557.7376
484	254511.2216
485	254470.309
486	254437.9212
487	254407.4869
488	254350.0325
489	254288.3456
490	254250.0045
491	254226.2138
492	254170.2706
493	254152.0658
494	254149.4153
495	254103.0052
496	254083.5042
497	254016.0167
498	253997.8553
499	253973.5811
