iter	Passed	Remaining
0	4	2120
1	11	2869
2	17	2856
3	22	2760
4	27	2678
5	33	2792
6	37	2668
7	44	2715
8	53	2928
9	59	2903
10	64	2858
11	69	2830
12	74	2792
13	80	2779
14	85	2760
15	91	2753
16	96	2737
17	100	2701
18	108	2748
19	113	2716
20	118	2707
21	125	2735
22	130	2716
23	135	2679
24	140	2675
25	144	2638
26	152	2666
27	157	2660
28	162	2636
29	170	2671
30	176	2668
31	181	2654
32	188	2670
33	193	2648
34	197	2625
35	204	2631
36	211	2647
37	218	2657
38	223	2647
39	228	2622
40	233	2615
41	237	2590
42	241	2565
43	246	2550
44	250	2529
45	254	2507
46	258	2493
47	262	2475
48	267	2465
49	270	2437
50	275	2429
51	280	2420
52	285	2403
53	289	2389
54	294	2379
55	298	2367
56	302	2353
57	305	2330
58	308	2308
59	314	2303
60	318	2290
61	322	2277
62	327	2273
63	331	2259
64	336	2250
65	342	2255
66	348	2251
67	352	2238
68	355	2219
69	359	2207
70	363	2195
71	367	2181
72	370	2168
73	374	2154
74	375	2128
75	378	2110
76	381	2095
77	384	2079
78	387	2063
79	390	2048
80	393	2034
81	396	2023
82	399	2008
83	402	1993
84	405	1979
85	408	1965
86	413	1962
87	420	1967
88	427	1972
89	432	1969
90	435	1956
91	438	1943
92	442	1935
93	445	1926
94	449	1914
95	452	1902
96	455	1893
97	459	1886
98	462	1874
99	465	1862
100	468	1849
101	471	1837
102	474	1829
103	477	1819
104	481	1810
105	484	1800
106	489	1796
107	492	1788
108	496	1780
109	500	1774
110	503	1764
111	506	1756
112	510	1747
113	513	1737
114	516	1730
115	521	1725
116	525	1719
117	530	1717
118	535	1714
119	539	1708
120	543	1702
121	547	1697
122	552	1693
123	556	1688
124	561	1683
125	564	1674
126	568	1670
127	573	1665
128	577	1660
129	582	1656
130	583	1644
131	587	1638
132	592	1634
133	597	1633
134	601	1627
135	604	1619
136	607	1610
137	609	1598
138	611	1588
139	616	1584
140	619	1576
141	622	1569
142	625	1562
143	628	1554
144	632	1548
145	637	1545
146	641	1539
147	644	1532
148	648	1527
149	652	1522
150	656	1517
151	660	1512
152	666	1511
153	671	1509
154	677	1508
155	679	1499
156	684	1495
157	689	1493
158	694	1488
159	697	1482
160	701	1477
161	706	1473
162	710	1468
163	715	1466
164	719	1461
165	724	1457
166	727	1450
167	731	1446
168	736	1442
169	740	1437
170	743	1431
171	749	1429
172	755	1427
173	760	1424
174	764	1420
175	769	1416
176	772	1409
177	778	1408
178	785	1408
179	789	1404
180	795	1402
181	802	1402
182	807	1398
183	812	1395
184	818	1393
185	823	1390
186	830	1390
187	835	1386
188	839	1381
189	843	1375
190	847	1370
191	851	1365
192	853	1358
193	855	1349
194	858	1342
195	861	1336
